YEAR,QUARTER,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER_REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,AVL_SEAT_MILES_320,REV_PAX_MILES_140,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_MAIL_249,AVL_TON_MILES_280,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,NON_REV_ACRFT_HRS_AIRBORNE_620,ACRFT_HRS_RAMPTORAMP_630,HOURS_AIRBORNE_650,AIR_DAYS_EQUIP_810,AIR_DAYS_ROUTE_820,AIRCRAFT_FUELS_921,NUM_MONTHS
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,F,16557315775.00,12930576551.00,1302726848.00,9669192.00,0.00,2003087853.00,115785425.00,169408.00,275262.00,,329023.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,K,16557315775.00,12930576551.00,1302726848.00,9669192.00,0.00,2003087853.00,115785425.00,169408.00,275262.00,,329023.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,L,2515227.00,2049361.00,204936.00,0.00,0.00,304290.00,17589.00,22.00,42.00,,49.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,V,3267264.00,2335597.00,233560.00,0.00,0.00,395270.00,22848.00,27.00,55.00,,63.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,Z,16560583039.00,12932912148.00,1302960407.00,9669192.00,0.00,2003483123.00,115808273.00,169435.00,275317.00,,329086.00,275636.00,33963.00,,237852275.00,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,F,11364514000.00,8802425730.00,888973540.00,8730967.00,0.00,1409199736.00,64940080.00,82822.00,150714.00,,177992.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,K,11364514000.00,8802425730.00,888973540.00,8730967.00,0.00,1409199736.00,64940080.00,82822.00,150714.00,,177992.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,L,2705500.00,2372260.00,237226.00,0.00,0.00,335482.00,15460.00,11.00,34.00,,40.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,V,3420550.00,2790466.00,279047.00,0.00,0.00,424148.00,19546.00,13.00,42.00,,48.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,Z,11367934550.00,8805216196.00,889252587.00,8730967.00,0.00,1409623884.00,64959626.00,82835.00,150756.00,,178040.00,150877.00,18348.00,,135949151.00,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,F,12863510100.00,10074991955.00,1016158721.00,8659525.00,0.00,1595075252.00,73505772.00,89115.00,168544.00,,199850.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,K,12863510100.00,10074991955.00,1016158721.00,8659525.00,0.00,1595075252.00,73505772.00,89115.00,168544.00,,199850.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,L,737275.00,573519.00,57352.00,0.00,0.00,91422.00,4213.00,4.00,10.00,,13.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,V,1157450.00,763198.00,76320.00,0.00,0.00,143524.00,6614.00,5.00,15.00,,19.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,Z,12864667550.00,10075755153.00,1016235041.00,8659525.00,0.00,1595218776.00,73512386.00,89120.00,168559.00,,199868.00,168809.00,19719.00,,132989623.00,3
2024,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,F,605030569.00,534505598.00,53456239.00,5680.00,0.00,73196006.00,4230983.00,4099.00,9683.00,,11332.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,K,605030569.00,534505598.00,53456239.00,5680.00,0.00,73196006.00,4230983.00,4099.00,9683.00,,11332.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,Z,605030569.00,534505598.00,53456239.00,5680.00,0.00,73196006.00,4230983.00,4099.00,9683.00,,11332.00,9309.00,1126.00,,7924722.00,3
2024,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,614,1,F,327502525.00,286656886.00,28700541.00,34853.00,0.00,40610313.00,1871443.00,1627.00,4201.00,,4836.00,,,,,3
2024,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,614,1,K,327502525.00,286656886.00,28700541.00,34853.00,0.00,40610313.00,1871443.00,1627.00,4201.00,,4836.00,,,,,3
