YEAR,QUARTER,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER_REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,AVL_SEAT_MILES_320,REV_PAX_MILES_140,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_MAIL_249,AVL_TON_MILES_280,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,NON_REV_ACRFT_HRS_AIRBORNE_620,ACRFT_HRS_RAMPTORAMP_630,HOURS_AIRBORNE_650,AIR_DAYS_EQUIP_810,AIR_DAYS_ROUTE_820,AIRCRAFT_FUELS_921,NUM_MONTHS
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,F,15809872221.00,12064330558.00,1215973491.00,9174105.00,366330.00,1912662863.00,110558547.00,174167.00,265890.00,,319778.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,K,15809872221.00,12064330558.00,1215973491.00,9174105.00,366330.00,1912662863.00,110558547.00,174167.00,265890.00,,319778.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,L,5603884.00,4753464.00,475487.00,0.00,140.00,677952.00,39188.00,35.00,86.00,,98.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,V,10120682.00,7475452.00,747686.00,0.00,140.00,1224390.00,70774.00,54.00,152.00,,168.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,Z,15819992903.00,12071806010.00,1216721177.00,9174105.00,366470.00,1913887253.00,110629321.00,174221.00,266042.00,,319945.00,264981.00,36258.00,,229499400.00,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,F,11950346100.00,9249481503.00,935541664.00,10218866.00,374648.00,1481842916.00,68287692.00,90434.00,159543.00,,187933.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,K,11950346100.00,9249481503.00,935541664.00,10218866.00,374648.00,1481842916.00,68287692.00,90434.00,159543.00,,187933.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,L,4476675.00,3624971.00,366275.00,0.00,3778.00,555108.00,25581.00,21.00,54.00,,61.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,V,5237925.00,4088061.00,412584.00,0.00,3778.00,649503.00,29931.00,25.00,63.00,,71.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,Z,11955584025.00,9253569564.00,935954248.00,10218866.00,378426.00,1482492419.00,68317623.00,90459.00,159606.00,,188003.00,159349.00,18247.00,,144335587.00,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,F,9057780900.00,7109325041.00,718162774.00,7001484.00,228786.00,1123164832.00,51758748.00,61550.00,118273.00,,139339.00,,,,,3
2023,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,K,9057780900.00,7109325041.00,718162774.00,7001484.00,228786.00,1123164832.00,51758748.00,61550.00,118273.00,,139339.00,,,,,3
