YEAR,QUARTER,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER_REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,AVL_SEAT_MILES_320,REV_PAX_MILES_140,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_MAIL_249,AVL_TON_MILES_280,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,NON_REV_ACRFT_HRS_AIRBORNE_620,ACRFT_HRS_RAMPTORAMP_630,HOURS_AIRBORNE_650,AIR_DAYS_EQUIP_810,AIR_DAYS_ROUTE_820,AIRCRAFT_FUELS_921,NUM_MONTHS
2018,1,,,,,,2HQ,,1,,6,628,1,F,777550.00,476504.00,47650.00,0.00,0.00,101859.00,15551.00,15.00,37.00,,42.00,,,,,
2018,1,,,,,,2HQ,,1,,6,628,1,K,777550.00,476504.00,47650.00,0.00,0.00,101859.00,15551.00,15.00,37.00,,42.00,,,,,
2018,1,,,,,,2HQ,,1,,6,628,1,Z,777550.00,476504.00,47650.00,0.00,0.00,101859.00,15551.00,15.00,37.00,,42.00,,,,,
2018,1,,,,,,2HQ,,1,,6,629,1,F,2510500.00,1444841.00,144484.00,0.00,0.00,328876.00,50210.00,51.00,125.00,,137.00,,,,,
2018,1,,,,,,2HQ,,1,,6,629,1,K,2510500.00,1444841.00,144484.00,0.00,0.00,328876.00,50210.00,51.00,125.00,,137.00,,,,,
2018,1,,,,,,2HQ,,1,,6,629,1,Z,2510500.00,1444841.00,144484.00,0.00,0.00,328876.00,50210.00,51.00,125.00,,137.00,,,,,
2018,1,,,,,,2HQ,,1,,6,631,1,F,3328710.00,1579619.00,157962.00,0.00,0.00,439865.00,47553.00,132.00,129.00,,169.00,,,,,
2018,1,,,,,,2HQ,,1,,6,631,1,K,3328710.00,1579619.00,157962.00,0.00,0.00,439865.00,47553.00,132.00,129.00,,169.00,,,,,
2018,1,,,,,,2HQ,,1,,6,631,1,Z,3328710.00,1579619.00,157962.00,0.00,0.00,439865.00,47553.00,132.00,129.00,,169.00,,,,,
2018,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,F,22762982957.00,18427550640.00,1859339968.00,16584904.00,0.00,2753843393.00,159181699.00,240384.00,378895.00,,448747.00,,,,,3
2018,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,K,22762982957.00,18427550640.00,1859339968.00,16584904.00,0.00,2753843393.00,159181699.00,240384.00,378895.00,,448747.00,,,,,3
2018,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,L,12894310.00,11383999.00,1138400.00,0.00,0.00,1559941.00,90170.00,90.00,198.00,,224.00,,,,,3
2018,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,V,22919754.00,16903170.00,1690317.00,0.00,0.00,2772809.00,160278.00,153.00,349.00,,388.00,,,,,3
2018,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,Z,22785902711.00,18444453810.00,1861030285.00,16584904.00,0.00,2756616202.00,159341977.00,240537.00,379244.00,,449135.00,385822.00,44074.00,,329935117.00,3
2018,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,F,13162899050.00,10859801535.00,1097608071.00,11627918.00,0.00,1632199482.00,75216566.00,76300.00,169045.00,,192701.00,,,,,3
