YEAR,QUARTER,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER_REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,AVL_SEAT_MILES_320,REV_PAX_MILES_140,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_MAIL_249,AVL_TON_MILES_280,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,NON_REV_ACRFT_HRS_AIRBORNE_620,ACRFT_HRS_RAMPTORAMP_630,HOURS_AIRBORNE_650,AIR_DAYS_EQUIP_810,AIR_DAYS_ROUTE_820,AIRCRAFT_FUELS_921,NUM_MONTHS
2013,1,,,,,,RD,,2,,6,626,1,V,174896.00,0.00,0.00,0.00,0.00,28578.00,643.00,1.00,1.00,,2.00,,,,,
2013,1,,,,,,RD,,2,,6,626,1,V,18846880.00,9752760.00,975276.00,0.00,0.00,3257337.00,69290.00,22.00,141.00,,151.00,,,,,
2013,1,,,,,,RD,,2,,6,626,1,Z,174896.00,0.00,0.00,0.00,0.00,28578.00,643.00,1.00,1.00,,2.00,,,,,
2013,1,,,,,,RD,,2,,6,626,1,Z,18846880.00,9752760.00,975276.00,0.00,0.00,3257337.00,69290.00,22.00,141.00,,151.00,,,,,
2013,1,,,,,,RD,,2,,6,687,1,V,8653098.00,6392039.00,639204.00,0.00,0.00,1463122.00,27211.00,21.00,69.00,,76.00,,,,,
2013,1,,,,,,RD,,2,,6,687,1,Z,8653098.00,6392039.00,639204.00,0.00,0.00,1463122.00,27211.00,21.00,69.00,,76.00,,,,,
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,F,18408805919.00,14191333043.00,1440311301.00,21177996.00,0.00,2247197876.00,129895831.00,184275.00,309517.00,,359612.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,K,18408805919.00,14191333043.00,1440311301.00,21177996.00,0.00,2247197876.00,129895831.00,184275.00,309517.00,,359612.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,L,21160792.00,17951824.00,1795182.00,0.00,0.00,2622126.00,151568.00,152.00,346.00,,388.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,V,41417479.00,31884168.00,3188417.00,0.00,0.00,5129260.00,296489.00,277.00,657.00,,727.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,Z,18450223398.00,14223217211.00,1443499717.00,21177996.00,0.00,2252327136.00,130192320.00,184552.00,310174.00,,360339.00,94230.00,37690.00,,267609272.00,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,F,2556610525.00,2161294575.00,219702124.00,3572666.00,0.00,317019705.00,14609203.00,13340.00,32615.00,,36812.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,K,2556610525.00,2161294575.00,219702124.00,3572666.00,0.00,317019705.00,14609203.00,13340.00,32615.00,,36812.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,Z,2556610525.00,2161294575.00,219702124.00,3572666.00,0.00,317019705.00,14609203.00,13340.00,32615.00,,36812.00,32214.00,3267.00,,27369399.00,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,616,1,F,469547988.00,315784683.00,31993239.00,414771.00,0.00,58693499.00,3848754.00,11042.00,10321.00,,12859.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,616,1,K,469547988.00,315784683.00,31993239.00,414771.00,0.00,58693499.00,3848754.00,11042.00,10321.00,,12859.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,616,1,Z,469547988.00,315784683.00,31993239.00,414771.00,0.00,58693499.00,3848754.00,11042.00,10321.00,,12859.00,10194.00,1747.00,,9243847.00,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,619,1,F,4639219081.00,3472280434.00,352061915.00,4833872.00,0.00,545192899.00,33862913.00,59792.00,84349.00,,100207.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,619,1,K,4639219081.00,3472280434.00,352061915.00,4833872.00,0.00,545192899.00,33862913.00,59792.00,84349.00,,100207.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,619,1,L,439633.00,333436.00,33344.00,0.00,0.00,51665.00,3209.00,3.00,7.00,,8.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,619,1,V,439633.00,333436.00,33344.00,0.00,0.00,51665.00,3209.00,3.00,7.00,,8.00,,,,,3
2013,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,619,1,Z,4639658714.00,3472613870.00,352095259.00,4833872.00,0.00,545244564.00,33866122.00,59795.00,84356.00,,100215.00,83318.00,11231.00,,71989742.00,3
2013,1,19650,AAT,Air Sunshine Inc.,30005,D,AAT,Air Sunshine Inc.,1,6,1,125,1,F,330660.00,149651.00,14965.00,0.00,0.00,36740.00,36740.00,444.00,247.00,,279.00,,,,,3
2013,1,19650,AAT,Air Sunshine Inc.,30005,D,AAT,Air Sunshine Inc.,1,6,1,125,1,K,330660.00,149651.00,14965.00,0.00,0.00,36740.00,36740.00,444.00,247.00,,279.00,,,,,3
2013,1,19650,AAT,Air Sunshine Inc.,30005,D,AAT,Air Sunshine Inc.,1,6,1,125,1,Z,330660.00,149651.00,14965.00,0.00,0.00,36740.00,36740.00,444.00,247.00,,279.00,,,,,3
2013,1,19650,AAT,Air Sunshine Inc.,30005,D,AAT,Air Sunshine Inc.,1,6,1,125,3,F,87570.00,57989.00,5799.00,0.00,0.00,9730.00,9730.00,144.00,65.00,,77.00,,,,,3
2013,1,19650,AAT,Air Sunshine Inc.,30005,D,AAT,Air Sunshine Inc.,1,6,1,125,3,K,87570.00,57989.00,5799.00,0.00,0.00,9730.00,9730.00,144.00,65.00,,77.00,,,,,3
2013,1,19650,AAT,Air Sunshine Inc.,30005,D,AAT,Air Sunshine Inc.,1,6,1,125,3,Z,87570.00,57989.00,5799.00,0.00,0.00,9730.00,9730.00,144.00,65.00,,77.00,,,,,3
2013,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,4,482,1,F,637234464.00,501719757.00,50369858.00,197882.00,0.00,74623510.00,8384664.00,29148.00,27887.00,,34009.00,,,,,3
2013,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,4,482,1,K,637234464.00,501719757.00,50369858.00,197882.00,0.00,74623510.00,8384664.00,29148.00,27887.00,,34009.00,,,,,3
2013,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,4,482,1,L,280364.00,98646.00,9865.00,0.00,0.00,32832.00,3689.00,8.00,11.00,,13.00,,,,,3
2013,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,4,482,1,V,280364.00,98646.00,9865.00,0.00,0.00,32832.00,3689.00,8.00,11.00,,13.00,,,,,3
2013,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,4,482,1,Z,637514828.00,501818403.00,50379722.00,197882.00,0.00,74656342.00,8388353.00,29156.00,27898.00,,34023.00,27977.00,4268.00,,10750000.00,3
2013,1,19687,QX,Horizon Air,11023,L,QX,Horizon Air,2,2,4,482,1,F,11315640.00,9664400.00,966440.00,0.00,0.00,1325121.00,148890.00,204.00,400.00,,488.00,,,,,3
2013,1,19687,QX,Horizon Air,11023,L,QX,Horizon Air,2,2,4,482,1,K,11315640.00,9664400.00,966440.00,0.00,0.00,1325121.00,148890.00,204.00,400.00,,488.00,,,,,3
2013,1,19687,QX,Horizon Air,11023,L,QX,Horizon Air,2,2,4,482,1,Z,11315640.00,9664400.00,966440.00,0.00,0.00,1325121.00,148890.00,204.00,400.00,,488.00,339.00,51.00,,130000.00,3
2013,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,6,608,1,F,244089334.00,200672896.00,20213874.00,146583.00,1.00,27656718.00,2010988.00,14550.00,6402.00,,10028.00,,,,,3
