YEAR,QUARTER,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER_REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,AVL_SEAT_MILES_320,REV_PAX_MILES_140,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_MAIL_249,AVL_TON_MILES_280,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,NON_REV_ACRFT_HRS_AIRBORNE_620,ACRFT_HRS_RAMPTORAMP_630,HOURS_AIRBORNE_650,AIR_DAYS_EQUIP_810,AIR_DAYS_ROUTE_820,AIRCRAFT_FUELS_921,NUM_MONTHS
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,F,14508010660.00,10654630022.00,1073587157.00,8124154.00,0.00,1755164926.00,101454620.00,147771.00,241688.00,,288262.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,K,14508010660.00,10654630022.00,1073587157.00,8124154.00,0.00,1755164926.00,101454620.00,147771.00,241688.00,,288262.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,L,2456311.00,1992293.00,199229.00,0.00,0.00,297162.00,17177.00,18.00,41.00,,47.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,V,2456311.00,1992293.00,199229.00,0.00,0.00,297162.00,17177.00,18.00,41.00,,47.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,Z,14510466971.00,10656622315.00,1073786386.00,8124154.00,0.00,1755462088.00,101471797.00,147789.00,241729.00,,288309.00,242140.00,30249.00,,206533605.00,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,F,11383726725.00,8268561918.00,834625194.00,7769003.00,0.00,1411582114.00,65049867.00,80865.00,150677.00,,177124.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,K,11383726725.00,8268561918.00,834625194.00,7769003.00,0.00,1411582114.00,65049867.00,80865.00,150677.00,,177124.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,L,181475.00,177327.00,17733.00,0.00,0.00,22503.00,1037.00,1.00,2.00,,2.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,V,181475.00,177327.00,17733.00,0.00,0.00,22503.00,1037.00,1.00,2.00,,2.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,Z,11383908200.00,8268739245.00,834642927.00,7769003.00,0.00,1411604617.00,65050904.00,80866.00,150679.00,,177127.00,150862.00,17976.00,,133244973.00,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,F,14124825225.00,10517375943.00,1061187569.00,9449974.00,0.00,1751478328.00,80713287.00,95365.00,184410.00,,217965.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,K,14124825225.00,10517375943.00,1061187569.00,9449974.00,0.00,1751478328.00,80713287.00,95365.00,184410.00,,217965.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,L,270900.00,222055.00,22206.00,0.00,0.00,33592.00,1548.00,2.00,3.00,,4.00,,,,,3
2025,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,V,270900.00,222055.00,22206.00,0.00,0.00,33592.00,1548.00,2.00,3.00,,4.00,,,,,3
