Variable,Param_Size1,Param_Size2,Param_Size3,Param_Size4,Param_Size5,Param_Size6,Param_Size7,Param_Size8,Param_Size9
Max_payload_kg,8528,13080,16271,18900,20276,38827,49000,61462,87500
Nonlateral_Fuel_Inefficiency,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085
CruiseSpeed_kts,442,447,447,447,453,488,467,482,488
HoldingSpeed_kts,299.7,300.3,298.8,216.5,216.5,213.9,215.2,243.8,205.8
TakeoffTime_min,0.77,0.81,0.67,0.9,0.93,1.02,1.05,1.05,1.11
ClimboutTime_min,0.97,0.98,0.92,1.01,1,0.91,0.98,0.89,1.19
ApproachTime_min,3.58,3.72,3.93,3.93,3.8,4.17,4.2,4.13,4.17
LandTime_min,0.9,0.93,0.98,0.98,0.95,1.04,1.05,1.03,1.04
APU_NOx_Rate_kgs,0,0,0,0,0,0,0,0,0
TaxiOut_NOx_Rate7_kgs,0.000301,0.000315,0.000595,0.000501,0.000478,0.001203,0.001288,0.001972,0.00137
TaxiOut_NOx_Rate20_kgs,0.001072,0.001038,0.001647,0.001529,0.001661,0.004331,0.004671,0.009311,0.004726
Takeoff_NOx_kg,0.4,0.78,1.51,1.71,2.13,3.16,9.16,14.95,11.29
Airborne_Holding_NOx_Rate_kgs,0.00325,0.00298,0.00571,0.00599,0.00621,0.00854,0.01502,0.01902,0.03609
Land_NOx_kg,0.2695,0.2256,0.27155,0.2436,0.02588,0.32617,0.07845,0.97935,1.7632
TaxiIn_NOx_Rate7_kgs,0.000301,0.000315,0.000595,0.000501,0.000478,0.001203,0.001288,0.001972,0.00137
TaxiIn_NOx_Rate20_kgs,0.001072,0.001038,0.001647,0.001529,0.001661,0.004331,0.004671,0.009311,0.004726
APU_Fuelburn_Rate_kgs,0,0,0,0,0,0,0,0,0
TaxiOut_Fuelburn_Rate7_kgs,0.065,0.0866,0.124,0.114,0.1097,0.2305,0.275,0.38,0.268
TaxiOut_Fuelburn_Rate20_kgs,0.1316,0.1698,0.2294,0.2364,0.2366,0.4755,0.5918,0.8039,0.5237
Takeoff_Fuelburn_kg,29.15,42.39,48.81,61.62,68.54,142.68,204.87,278.02,255.95
Airborne_Holding_Fuelburn_Rate_kgs,0.28,0.38,0.54,0.59,0.61,0.98,1.49,1.53,2.77
Land_Fuelburn_kg,19.9,23.7,27.7,27.1,3.6,38.6,9.8,69.9,125.6
TaxiIn_Fuelburn_Rate7_kgs,0.065,0.0866,0.124,0.114,0.1097,0.2305,0.275,0.38,0.268
TaxiIn_Fuelburn_Rate20_kgs,0.1316,0.1698,0.2294,0.2364,0.2366,0.4755,0.5918,0.8039,0.5237
Cruise_HC_Rate_mgs,28.1,69.7,58.6,367.8,129.4,143.9,1857.5,192.5,301.7
Cruise_CO_Rate_gs,1.2,2.1,2,2.1,1.5,3.8,1.7,5.5,3.5
Airborne_Holding_HC_Rate_mgs,28.1,69.7,58.6,367.8,129.4,143.9,1857.5,192.5,301.7
Airborne_Holding_CO_Rate_gs,1.2,2.1,2,2.1,1.5,3.8,1.7,5.5,3.5
